ID,Name,Tags,Faculty,School,CourseOutline,Campus,Career,UoC,EFTSL,ICHPW,Prereq,Excluded,CSSCC,GenEd,Description,,,,Enjoy,Difficult,Skip
COMP4906,Industrial Training 3,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/undergrad/programs/cscoop.html'>www.cse.unsw.edu.au/undergrad/programs/cscoop</a>,Sydney,Undergraduate,15,0.3125,0,,,2,,,,,,,,,
COMP4910,Thesis Part A,,,,,,,,,,,,,,,,,,,,
COMP4911,Thesis Part B,,,,,,,,,,,,,,,,,,,,
COMP4920,Management and Ethics,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs4920'>www.cse.unsw.edu.au/~cs4920</a>,Sydney,Undergraduate,6,0.125,4,"COMP2511 or COMP2911, and in the final year of the BSc Computer Science or BE / BE (Hons) Bioinformatics Engineering or Computer Engineering. Software Engineering students enrol in SENG4920.","BINF4920, COMP2920, SENG4920, SENG4921",1,,,,,,,,,
COMP4930,Thesis Part A,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/thesis/'>www.cse.unsw.edu.au/thesis</a>,Sydney,Undergraduate,6,0.125,5," Enrolment in Bachelor of Science (Honours) program 4515, or 126 units of credit completed in BE Computer Engineering, BE Bioinformatics or Bioinformatics Engineering, or BE (Honours) Software Engineering.",,2,,,,,,,,,
COMP4931,Thesis Part B,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/thesis/'>www.cse.unsw.edu.au/thesis</a>,Sydney,Undergraduate,6,0.125,5,COMP4930. Excluded: Program 4515.,"BINF4911, BIOM5921, BIOM5951, BIOM5961, BIOM5971, COMP4911, COMP4941, SENG4911",2,,,,,,,,,
COMP4941,Thesis Part B,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/thesis/'>www.cse.unsw.edu.au/thesis</a>,Sydney,Undergraduate,12,0.25,0,COMP4930 and [75 WAM or enrolment in Computer Science Honours],"BINF4911, BIOM5921, BIOM5951, BIOM5961, BIOM5971, COMP4911, COMP4931, SENG4911",2,,,,,,,,,
COMP6441,Security Engineering and Cyber Security,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""","<a href=http://www.cse.unsw.edu.au/~cs6441"">http://www.cse.unsw.edu.au/~cs6441</a>""",Sydney,Undergraduate,6,0.125,4,Completion of 48 UOC,"COMP3441, COMP6841, COMP9441",2,Yes,,,,,,,,
COMP6443,Web Application Security and Testing,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""","<a href=http://www.cse.unsw.edu.au/~cs6443"">http://www.cse.unsw.edu.au/~cs6443</a>""",Sydney,Undergraduate,6,0.125,5,COMP6441 or COMP6841 or COMP3441 or COMP9321,COMP6843,2,Yes,,,,,,,,
COMP6445,Digital Forensics,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='https://www.engineering.unsw.edu.au/computer-science-engineering'>School</a>,Sydney,Undergraduate,6,0.125,5,"COMP3441 or COMP6441 or COMP6841, and COMP3231 or COMP3891",COMP6845,2,Yes,,,,,,,,
COMP6448,Security Engineering Masterclass,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='https://www.engineering.unsw.edu.au/computer-science-engineering'>School</a>,Sydney,Undergraduate,6,0.125,30,COMP6841,,2,Yes,,,,,,,,
